LIGHT (lux),SOUND LEVEL (dB),Time,YYYY-MO-DD HH-MI-SS_SSS
104.4,62.912,14,2019-03-26 13:30:31:019
129.1,61.932,514,2019-03-26 13:30:31:519
135.3,59.474,1015,2019-03-26 13:30:32:020
142.6,55.08,1514,2019-03-26 13:30:32:519
146.3,57.374,2015,2019-03-26 13:30:33:020
157.5,57.682,2514,2019-03-26 13:30:33:519
140.3,63.203,3016,2019-03-26 13:30:34:021
149.1,64.192,3515,2019-03-26 13:30:34:520
172.1,60.31,4015,2019-03-26 13:30:35:020
211.3,62.073,4514,2019-03-26 13:30:35:519
199.1,63.03,5014,2019-03-26 13:30:36:019
201.8,65.164,5514,2019-03-26 13:30:36:519
202.2,64.484,6015,2019-03-26 13:30:37:020
204.8,64.236,6515,2019-03-26 13:30:37:520
207.7,64.728,7014,2019-03-26 13:30:38:019
206,65.23,7516,2019-03-26 13:30:38:521
206.5,63.958,8014,2019-03-26 13:30:39:019
205,62.559,8514,2019-03-26 13:30:39:519
206.6,60.07,9014,2019-03-26 13:30:40:019
201.7,60.224,9514,2019-03-26 13:30:40:519
235.6,62.732,10014,2019-03-26 13:30:41:019
225.9,65.715,10515,2019-03-26 13:30:41:520
226.8,62.968,11015,2019-03-26 13:30:42:020
226.4,63.629,11515,2019-03-26 13:30:42:520
227,63.309,12014,2019-03-26 13:30:43:019
226.7,64.182,12514,2019-03-26 13:30:43:519
227,64.309,13015,2019-03-26 13:30:44:020
226.8,64.836,13515,2019-03-26 13:30:44:520
226.6,65.024,14017,2019-03-26 13:30:45:022
230.9,64.582,14514,2019-03-26 13:30:45:519
229,64.651,15015,2019-03-26 13:30:46:020
227.8,65.217,15514,2019-03-26 13:30:46:519
227.9,63.469,16014,2019-03-26 13:30:47:019
226.9,63.53,16515,2019-03-26 13:30:47:520
228.2,64.916,17015,2019-03-26 13:30:48:020
228.3,64.975,17514,2019-03-26 13:30:48:519
227.6,64.29,18015,2019-03-26 13:30:49:020
227.6,65.37,18514,2019-03-26 13:30:49:519
230.8,64.583,19015,2019-03-26 13:30:50:020
227.6,66.045,19514,2019-03-26 13:30:50:519
228.8,64.096,20016,2019-03-26 13:30:51:021
231.3,62.916,20514,2019-03-26 13:30:51:519
223.9,63.704,21015,2019-03-26 13:30:52:020
231.5,62.601,21514,2019-03-26 13:30:52:519
228.4,62.807,22014,2019-03-26 13:30:53:019
231.7,63.353,22514,2019-03-26 13:30:53:519
231.7,62.665,23014,2019-03-26 13:30:54:019
231.7,63.277,23515,2019-03-26 13:30:54:520
231.8,62.407,24014,2019-03-26 13:30:55:019
231.5,62.354,24514,2019-03-26 13:30:55:519
231.2,61.383,25015,2019-03-26 13:30:56:020
