sep=;
LIGHT (lux);SOUND LEVEL (dB);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
234.0;49.851;60025;2019-04-02 13:35:27:276
234.0;53.0;60526;2019-04-02 13:35:27:777
234.0;45.733;61024;2019-04-02 13:35:28:275
234.0;61.538;61525;2019-04-02 13:35:28:776
234.0;52.936;62024;2019-04-02 13:35:29:275
234.0;56.184;62524;2019-04-02 13:35:29:775
234.0;55.561;63024;2019-04-02 13:35:30:275
234.0;48.578;63525;2019-04-02 13:35:30:776
234.0;56.37;64024;2019-04-02 13:35:31:275
234.0;55.646;64524;2019-04-02 13:35:31:775
234.0;55.517;65024;2019-04-02 13:35:32:275
234.0;56.345;65525;2019-04-02 13:35:32:776
234.0;57.143;66025;2019-04-02 13:35:33:276
234.0;50.091;66525;2019-04-02 13:35:33:776
234.0;53.981;67026;2019-04-02 13:35:34:277
234.0;48.903;67525;2019-04-02 13:35:34:776
234.0;50.777;68025;2019-04-02 13:35:35:276
234.0;49.923;68525;2019-04-02 13:35:35:776
234.0;36.673;69026;2019-04-02 13:35:36:277
234.0;56.18;69525;2019-04-02 13:35:36:776
234.0;57.991;70024;2019-04-02 13:35:37:275
234.0;54.968;70525;2019-04-02 13:35:37:776
234.0;54.613;71025;2019-04-02 13:35:38:276
234.0;50.423;71526;2019-04-02 13:35:38:777
234.0;49.307;72026;2019-04-02 13:35:39:277
234.0;51.327;72526;2019-04-02 13:35:39:777
234.0;54.147;73025;2019-04-02 13:35:40:276
234.0;50.227;73526;2019-04-02 13:35:40:777
234.0;55.696;74025;2019-04-02 13:35:41:276
234.0;54.367;74525;2019-04-02 13:35:41:776
227.0;48.696;75026;2019-04-02 13:35:42:277
227.0;56.614;75525;2019-04-02 13:35:42:776
234.0;49.234;76025;2019-04-02 13:35:43:276
234.0;48.164;76525;2019-04-02 13:35:43:776
234.0;52.124;77026;2019-04-02 13:35:44:277
234.0;53.437;77526;2019-04-02 13:35:44:777
234.0;50.421;78025;2019-04-02 13:35:45:276
234.0;51.717;78525;2019-04-02 13:35:45:776
234.0;45.878;79025;2019-04-02 13:35:46:276
234.0;53.063;79525;2019-04-02 13:35:46:776
234.0;53.615;80025;2019-04-02 13:35:47:276
234.0;48.923;80526;2019-04-02 13:35:47:777
234.0;46.928;81025;2019-04-02 13:35:48:276
234.0;44.906;81525;2019-04-02 13:35:48:776
234.0;50.276;82025;2019-04-02 13:35:49:276
234.0;54.8;82525;2019-04-02 13:35:49:776
234.0;56.625;83025;2019-04-02 13:35:50:276
234.0;56.745;83525;2019-04-02 13:35:50:776
234.0;53.26;84025;2019-04-02 13:35:51:276
234.0;47.552;84525;2019-04-02 13:35:51:776
234.0;39.384;85024;2019-04-02 13:35:52:275
234.0;33.559;85526;2019-04-02 13:35:52:777
234.0;32.514;86025;2019-04-02 13:35:53:276
234.0;39.599;86525;2019-04-02 13:35:53:776
234.0;40.228;87025;2019-04-02 13:35:54:276
234.0;58.571;87526;2019-04-02 13:35:54:777
234.0;37.377;88025;2019-04-02 13:35:55:276
234.0;35.388;88525;2019-04-02 13:35:55:776
234.0;59.147;89027;2019-04-02 13:35:56:278
234.0;57.824;89525;2019-04-02 13:35:56:776
234.0;58.229;90027;2019-04-02 13:35:57:278
234.0;57.497;90525;2019-04-02 13:35:57:776
234.0;40.539;91025;2019-04-02 13:35:58:276
234.0;33.857;91525;2019-04-02 13:35:58:776
234.0;55.088;92026;2019-04-02 13:35:59:277
234.0;55.058;92526;2019-04-02 13:35:59:777
234.0;41.466;93026;2019-04-02 13:36:00:277
