sep=;
LIGHT (lux);SOUND LEVEL (dB);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
209.1;59.783;21;2019-04-02 13:33:56:469
212.8;62.334;520;2019-04-02 13:33:56:968
214.0;62.053;1020;2019-04-02 13:33:57:468
250.0;64.281;1520;2019-04-02 13:33:57:968
236.6;63.699;2020;2019-04-02 13:33:58:468
260.1;55.513;2520;2019-04-02 13:33:58:968
273.4;61.403;3021;2019-04-02 13:33:59:469
279.1;58.826;3520;2019-04-02 13:33:59:968
278.6;62.408;4020;2019-04-02 13:34:00:468
97.1;62.175;4521;2019-04-02 13:34:00:969
50.9;62.09;5020;2019-04-02 13:34:01:468
54.7;62.826;5521;2019-04-02 13:34:01:969
90.0;62.75;6020;2019-04-02 13:34:02:468
88.8;62.165;6520;2019-04-02 13:34:02:968
79.9;58.658;7023;2019-04-02 13:34:03:471
113.2;61.749;7520;2019-04-02 13:34:03:968
193.3;61.119;8020;2019-04-02 13:34:04:468
263.8;61.88;8520;2019-04-02 13:34:04:968
278.9;66.637;9020;2019-04-02 13:34:05:468
279.5;66.581;9520;2019-04-02 13:34:05:968
279.5;65.682;10020;2019-04-02 13:34:06:468
279.5;64.278;10520;2019-04-02 13:34:06:968
279.5;64.972;11020;2019-04-02 13:34:07:468
279.5;65.043;11520;2019-04-02 13:34:07:968
279.1;65.596;12020;2019-04-02 13:34:08:468
279.7;66.306;12520;2019-04-02 13:34:08:968
280.4;66.426;13020;2019-04-02 13:34:09:468
279.8;66.54;13521;2019-04-02 13:34:09:969
280.0;66.448;14020;2019-04-02 13:34:10:468
279.5;65.431;14520;2019-04-02 13:34:10:968
280.1;65.226;15022;2019-04-02 13:34:11:470
279.4;66.218;15521;2019-04-02 13:34:11:969
279.7;67.21;16020;2019-04-02 13:34:12:468
279.5;67.026;16521;2019-04-02 13:34:12:969
279.5;66.237;17020;2019-04-02 13:34:13:468
279.8;66.804;17520;2019-04-02 13:34:13:968
279.7;66.289;18020;2019-04-02 13:34:14:468
280.0;66.671;18520;2019-04-02 13:34:14:968
279.7;66.088;19021;2019-04-02 13:34:15:469
279.5;67.902;19520;2019-04-02 13:34:15:968
279.4;67.224;20021;2019-04-02 13:34:16:469
279.4;66.747;20521;2019-04-02 13:34:16:969
279.4;66.617;21020;2019-04-02 13:34:17:468
279.5;66.79;21520;2019-04-02 13:34:17:968
279.5;65.214;22021;2019-04-02 13:34:18:469
279.5;64.567;22520;2019-04-02 13:34:18:968
