LIGHT (lux),SOUND LEVEL (dB),Time,YYYY-MO-DD HH-MI-SS_SSS
527,37.067,1376519,2019-03-12 12:24:12:452
527,32.006,1377020,2019-03-12 12:24:12:953
521,33.844,1377520,2019-03-12 12:24:13:453
527,33.122,1378018,2019-03-12 12:24:13:951
527,39.817,1378519,2019-03-12 12:24:14:452
527,39.497,1379019,2019-03-12 12:24:14:952
519,44.433,1379519,2019-03-12 12:24:15:452
527,40.536,1380018,2019-03-12 12:24:15:951
527,40.348,1380519,2019-03-12 12:24:16:452
527,40.358,1381019,2019-03-12 12:24:16:952
521,39.573,1381519,2019-03-12 12:24:17:452
527,39.225,1382020,2019-03-12 12:24:17:953
527,41.282,1382519,2019-03-12 12:24:18:452
527,39.582,1383019,2019-03-12 12:24:18:952
521,54.023,1383519,2019-03-12 12:24:19:452
527,54.506,1384019,2019-03-12 12:24:19:952
521,57.238,1384519,2019-03-12 12:24:20:452
521,52.472,1385019,2019-03-12 12:24:20:952
521,46.916,1385519,2019-03-12 12:24:21:452
521,54.118,1386019,2019-03-12 12:24:21:952
521,51.66,1386519,2019-03-12 12:24:22:452
521,52.416,1387020,2019-03-12 12:24:22:953
521,49.109,1387519,2019-03-12 12:24:23:452
521,57.074,1388019,2019-03-12 12:24:23:952
521,58.098,1388519,2019-03-12 12:24:24:452
521,56.156,1389019,2019-03-12 12:24:24:952
521,55.617,1389519,2019-03-12 12:24:25:452
521,55.61,1390019,2019-03-12 12:24:25:952
527,56.326,1390519,2019-03-12 12:24:26:452
521,53.374,1391019,2019-03-12 12:24:26:952
521,46.475,1391519,2019-03-12 12:24:27:452
521,55.508,1392019,2019-03-12 12:24:27:952
521,52.637,1392520,2019-03-12 12:24:28:453
527,54.749,1393019,2019-03-12 12:24:28:952
521,52.105,1393519,2019-03-12 12:24:29:452
527,51.364,1394018,2019-03-12 12:24:29:951
521,54.926,1394519,2019-03-12 12:24:30:452
521,52.64,1395019,2019-03-12 12:24:30:952
527,56.866,1395519,2019-03-12 12:24:31:452
521,56.081,1396019,2019-03-12 12:24:31:952
521,57.804,1396519,2019-03-12 12:24:32:452
527,56.618,1397022,2019-03-12 12:24:32:955
527,49.938,1397519,2019-03-12 12:24:33:452
527,49.942,1398019,2019-03-12 12:24:33:952
527,48.89,1398520,2019-03-12 12:24:34:453
527,50.97,1399019,2019-03-12 12:24:34:952
527,43.961,1399520,2019-03-12 12:24:35:453
521,57.431,1400018,2019-03-12 12:24:35:951
527,57.003,1400519,2019-03-12 12:24:36:452
521,55.469,1401019,2019-03-12 12:24:36:952
521,50.13,1401519,2019-03-12 12:24:37:452
521,52.462,1402020,2019-03-12 12:24:37:953
527,51.809,1402519,2019-03-12 12:24:38:452
521,44.489,1403020,2019-03-12 12:24:38:953
521,44.296,1403519,2019-03-12 12:24:39:452
527,38.46,1404019,2019-03-12 12:24:39:952
527,38.916,1404519,2019-03-12 12:24:40:452
527,36.993,1405019,2019-03-12 12:24:40:952
519,41.128,1405518,2019-03-12 12:24:41:451
527,41.265,1406019,2019-03-12 12:24:41:952
521,41.569,1406519,2019-03-12 12:24:42:452
527,41.144,1407019,2019-03-12 12:24:42:952
527,41.864,1407519,2019-03-12 12:24:43:452
527,40.321,1408019,2019-03-12 12:24:43:952
527,34.721,1408520,2019-03-12 12:24:44:453
527,41.999,1409018,2019-03-12 12:24:44:951
