sep=;
LIGHT (lux);SOUND LEVEL (dB);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
215.0;53.806;41;2019-03-26 13:32:53:004
215.0;57.404;541;2019-03-26 13:32:53:504
215.0;58.038;1041;2019-03-26 13:32:54:004
215.0;57.324;1542;2019-03-26 13:32:54:505
215.0;51.578;2041;2019-03-26 13:32:55:004
215.0;58.542;2541;2019-03-26 13:32:55:504
215.0;57.833;3042;2019-03-26 13:32:56:005
215.0;56.519;3542;2019-03-26 13:32:56:505
215.0;41.777;4042;2019-03-26 13:32:57:005
215.0;42.476;4541;2019-03-26 13:32:57:504
215.0;65.431;5041;2019-03-26 13:32:58:004
215.0;68.808;5542;2019-03-26 13:32:58:505
215.0;58.896;6041;2019-03-26 13:32:59:004
215.0;64.492;6541;2019-03-26 13:32:59:504
215.0;66.484;7041;2019-03-26 13:33:00:004
215.0;67.146;7541;2019-03-26 13:33:00:504
215.0;66.232;8042;2019-03-26 13:33:01:005
215.0;66.663;8542;2019-03-26 13:33:01:505
215.0;65.632;9041;2019-03-26 13:33:02:004
215.0;63.297;9541;2019-03-26 13:33:02:504
215.0;59.787;10042;2019-03-26 13:33:03:005
215.0;39.363;10541;2019-03-26 13:33:03:504
215.0;48.747;11041;2019-03-26 13:33:04:004
215.0;42.47;11542;2019-03-26 13:33:04:505
215.0;39.498;12042;2019-03-26 13:33:05:005
215.0;40.419;12541;2019-03-26 13:33:05:504
215.0;43.034;13041;2019-03-26 13:33:06:004
215.0;53.466;13541;2019-03-26 13:33:06:504
215.0;64.116;14041;2019-03-26 13:33:07:004
215.0;62.632;14542;2019-03-26 13:33:07:505
215.0;53.525;15041;2019-03-26 13:33:08:004
215.0;45.175;15541;2019-03-26 13:33:08:504
213.0;50.924;16041;2019-03-26 13:33:09:004
215.0;61.783;16542;2019-03-26 13:33:09:505
215.0;45.945;17041;2019-03-26 13:33:10:004
215.0;43.741;17541;2019-03-26 13:33:10:504
215.0;41.518;18041;2019-03-26 13:33:11:004
215.0;50.639;18542;2019-03-26 13:33:11:505
215.0;66.307;19041;2019-03-26 13:33:12:004
215.0;61.654;19541;2019-03-26 13:33:12:504
215.0;66.554;20042;2019-03-26 13:33:13:005
215.0;53.065;20541;2019-03-26 13:33:13:504
215.0;55.229;21042;2019-03-26 13:33:14:005
215.0;57.899;21541;2019-03-26 13:33:14:504
215.0;46.36;22042;2019-03-26 13:33:15:005
215.0;54.646;22542;2019-03-26 13:33:15:505
215.0;55.503;23042;2019-03-26 13:33:16:005
215.0;47.347;23541;2019-03-26 13:33:16:504
215.0;59.608;24042;2019-03-26 13:33:17:005
215.0;56.862;24542;2019-03-26 13:33:17:505
215.0;51.665;25041;2019-03-26 13:33:18:004
212.0;42.303;25541;2019-03-26 13:33:18:504
210.0;60.282;26042;2019-03-26 13:33:19:005
208.0;70.171;26542;2019-03-26 13:33:19:505
195.0;58.557;27042;2019-03-26 13:33:20:005
190.0;65.57;27541;2019-03-26 13:33:20:504
189.0;63.26;28042;2019-03-26 13:33:21:005
187.0;68.465;28542;2019-03-26 13:33:21:505
182.0;67.469;29041;2019-03-26 13:33:22:004
195.0;68.13;29541;2019-03-26 13:33:22:504
187.0;67.716;30042;2019-03-26 13:33:23:005
177.0;60.831;30542;2019-03-26 13:33:23:505
158.0;48.367;31041;2019-03-26 13:33:24:004
161.0;42.408;31542;2019-03-26 13:33:24:505
158.0;69.343;32041;2019-03-26 13:33:25:004
166.0;68.773;32541;2019-03-26 13:33:25:504
163.0;67.744;33043;2019-03-26 13:33:26:006
156.0;56.719;33541;2019-03-26 13:33:26:504
158.0;63.245;34042;2019-03-26 13:33:27:005
153.0;65.689;34542;2019-03-26 13:33:27:505
153.0;61.196;35042;2019-03-26 13:33:28:005
153.0;62.147;35542;2019-03-26 13:33:28:505
164.0;68.852;36041;2019-03-26 13:33:29:004
172.0;50.323;36542;2019-03-26 13:33:29:505
172.0;62.545;37044;2019-03-26 13:33:30:007
169.0;59.239;37541;2019-03-26 13:33:30:504
187.0;47.237;38041;2019-03-26 13:33:31:004
167.0;50.526;38541;2019-03-26 13:33:31:504
167.0;62.256;39041;2019-03-26 13:33:32:004
166.0;68.289;39541;2019-03-26 13:33:32:504
164.0;65.732;40042;2019-03-26 13:33:33:005
176.0;53.444;40542;2019-03-26 13:33:33:505
184.0;39.108;41041;2019-03-26 13:33:34:004
197.0;61.079;41542;2019-03-26 13:33:34:505
187.0;66.127;42042;2019-03-26 13:33:35:005
193.0;65.405;42541;2019-03-26 13:33:35:504
190.0;33.344;43041;2019-03-26 13:33:36:004
190.0;37.121;43542;2019-03-26 13:33:36:505
188.0;66.076;44042;2019-03-26 13:33:37:005
127.0;64.993;44545;2019-03-26 13:33:37:508
147.0;69.953;45042;2019-03-26 13:33:38:005
213.0;73.255;45541;2019-03-26 13:33:38:504
210.0;75.208;46042;2019-03-26 13:33:39:005
213.0;62.182;46542;2019-03-26 13:33:39:505
215.0;68.026;47041;2019-03-26 13:33:40:004
215.0;61.173;47541;2019-03-26 13:33:40:504
215.0;61.371;48041;2019-03-26 13:33:41:004
197.0;51.436;48541;2019-03-26 13:33:41:504
205.0;60.656;49041;2019-03-26 13:33:42:004
213.0;53.558;49541;2019-03-26 13:33:42:504
213.0;57.967;50042;2019-03-26 13:33:43:005
213.0;41.463;50541;2019-03-26 13:33:43:504
213.0;61.187;51041;2019-03-26 13:33:44:004
164.0;67.03;51542;2019-03-26 13:33:44:505
198.0;68.834;52041;2019-03-26 13:33:45:004
197.0;70.21;52541;2019-03-26 13:33:45:504
201.0;75.594;53042;2019-03-26 13:33:46:005
200.0;75.252;53541;2019-03-26 13:33:46:504
200.0;61.822;54041;2019-03-26 13:33:47:004
200.0;44.855;54541;2019-03-26 13:33:47:504
200.0;34.798;55042;2019-03-26 13:33:48:005
200.0;38.937;55541;2019-03-26 13:33:48:504
200.0;46.439;56041;2019-03-26 13:33:49:004
201.0;39.823;56542;2019-03-26 13:33:49:505
201.0;37.784;57042;2019-03-26 13:33:50:005
200.0;36.886;57542;2019-03-26 13:33:50:505
203.0;41.892;58042;2019-03-26 13:33:51:005
203.0;51.565;58542;2019-03-26 13:33:51:505
205.0;40.562;59041;2019-03-26 13:33:52:004
205.0;36.823;59542;2019-03-26 13:33:52:505
202.0;39.683;60041;2019-03-26 13:33:53:004
202.0;39.22;60541;2019-03-26 13:33:53:504
202.0;45.622;61041;2019-03-26 13:33:54:004
203.0;39.087;61541;2019-03-26 13:33:54:504
205.0;37.129;62042;2019-03-26 13:33:55:005
201.0;57.466;62542;2019-03-26 13:33:55:505
200.0;50.792;63041;2019-03-26 13:33:56:004
195.0;45.584;63541;2019-03-26 13:33:56:504
181.0;47.763;64041;2019-03-26 13:33:57:004
169.0;45.407;64541;2019-03-26 13:33:57:504
179.0;43.783;65041;2019-03-26 13:33:58:004
174.0;41.094;65542;2019-03-26 13:33:58:505
179.0;39.792;66041;2019-03-26 13:33:59:004
176.0;40.075;66542;2019-03-26 13:33:59:505
184.0;42.365;67041;2019-03-26 13:34:00:004
